ID,Project_ID,Project_Title,Donor_or_Lender,CIDA_Donor_Format,Multi_Single,Partner,Total_Cost,Currency_used,Sector_Code,Total_disbursement_to_date,Project_funding_type,Approval_Date,Name_of_Implementing_Agency,Telephone_for_EA,Fax_for_EA,www_address,Targeted_Beneficiaries(HH),Targeted_individuals,Targeted_Group,Address,Email,Objective,Components,Planned_Project_Outputs,Indicators,Start_Date,Completion_Date,Date_of_data_entry,District_Coverage
1,1,Association of Suni Madrassah (ASUM) Relief Services and Food Security,ASUM,EU,Single Donor,,55000000,7,52010,"27,000,000",3,06/17/2006,Association of Suni Madrassah (ASUM),01 727344,01 727796,,0,200000,Rural farmers,PO Box 1081 Lilongwe,asum@malawi.net,1. To ensure that households in the targeted areas have food throughout the year,"1. Relief and awareness_x000D_
_x000D_
2. Small scale irrigation","1. 10,000 Mt relief food distributed totargetted beneficiaries_x000D_
_x000D_
2. 200 teadle pumps and 10Mt of fertilizers and 2Mt maize seed distributed to targeted beneficiaries","1. Number of households with food throughout the year_x000D_
_x000D_
2.Hectares of land under irrigation",06/17/2006,12/31/2010,02/08/2010,"Salima, Nkhotakota, Lilongwe"
2,2,Maternal and Child Health Programme,PLAN Norway,African Development Bank,Single Donor,"Ministry of Health (MoH), Ministry of Women and Child Welfare (MoWCW), Ministry of Agriculture and Food Security (MoAFS)",8215707,5,12390,"7,668,790",3,03/01/2003,PLAN Malawi,01 770 890/09 939 839,01 774 479,,48000,,"Under five, women of child bearingage","P.O. Box 2053, Lilongwe",planmalawico@plan-international.org,1. To reduce the incidence of malnutrition in under five and pregnant women in Plan supported communities,"1 Training community resource persons._x000D_
_x000D_
2. Micronutrients supplementation (Vitamin A)._x000D_
_x000D_
3. Construction of Mzimba Central Hospital (MCH) and equipping with under five equipment including weighing scales._x000D_
_x000D_
4. Supplementary feeding (Likuni phala)._x000D_
 _x000D_
5. Support exclusive breastfeeding campaigns._x000D_
_x000D_
6. Deworming._x000D_
_x000D_
7. Integration of food security with nutrition","1. Community resource persons trained._x000D_
_x000D_
2. Growth monitoring volunteers (GMV)  supported with logistics to conduct growth monitoring activities at household level._x000D_
 _x000D_
3. Children given vitamin A every 6 months._x000D_
_x000D_
4. Facilities constructed and equipped equipping with under five equipment including weighing scales._x000D_
_x000D_
5. Children reached/given supplementary feeding (Likuni phala)._x000D_
 _x000D_
6. Children deformed increased.","1. % change in cases of malnutrition in vulnerable groups (under five children, pregnant women and lactating mothers) in Malawian communities_x000D_
_x000D_
2. Proportion of people within vulnerable groups (under five children, pregnant women and lactating mothers) displaying signs of nutrition related disorders in the Malawian communities_x000D_
_x000D_
3. % of children under five that are stunted in the Malawian population_x000D_
_x000D_
4. % increase in the number of household that practice recommended nutritional practices_x000D_
_x000D_
5. Number of children admitted and readmitted to nutritional rehabilitation unit",01/01/2004,04/30/2010,02/25/2010," Lilongwe, Kasungu, Mzimba"
3,3,Community Vitalisation and Afforestation in Middle Shire (COVAMS),JICA,,,,116039492,7,43040,"64,940,820",2,08/01/2007,Forest Department,01 771 000,01 771 417,,100,0,Rural community,Box 5493 Limbe,covamsproject@gmail.com,To ensure that productive activities including tree growing are implemented with consideration of forest conservation and rehabilitation,"1. Land conservation and livelihood improvement, _x000D_
_x000D_
2. Forestry _x000D_
_x000D_
3. Agriculture and community development","1. The target villagers acquire knowledge and skills regarding productive activities including tree planting_x000D_
_x000D_
2. Capacity of the target villagers is enhanced to access necessary resources for productive activities including tree planting_x000D_
_x000D_
3. Capacity of the counterparts is enhanced in supporting productive activities including tree planting","1. Number of participants in the training _x000D_
_x000D_
2. Number of training conducted in each target village (at least 20 times)_x000D_
_x000D_
3. Percentage of the training participants satisfied with the training courses_x000D_
_x000D_
4. Percentage of people who actually have accessed information about necessary resources, to the training participants (75% or more)_x000D_
_x000D_
5. Percentage of people who actually have accessed the resources to the training courses (50% or more)_x000D_
_x000D_
6. Percentage of the training courses planned and implemented with initiative of the counterparts (90% in the final year of the project)_x000D_
_x000D_
7. Guidelines prepared _x000D_
_x000D_
8. Percentage of the counterparts who satisfactorily understand and apply the guidelines",11/05/2007,11/04/2012,02/22/2010,Blantyre
4,4,Integrated Community Development Project,Caritas Australia,,,,70000,5,43040,"35,000",3,10/01/2009,CADECOM Mangochi,01 594 825,01 593 361,,300,1500,Smallholder farmers,"P.O. Box 277, Mangochi",mhcadecom@sdnp.org.mw,"1. To improve food security for 300 households in 10 villages of STA Nkaya in Balaka District by 2010_x000D_
_x000D_
2. To increase the number of people involved in keeping bees, fish farming and rearing of small livestock by 70 households in 10 villages of STA Nkaya in Balaka District","1. Food security/agriculture_x000D_
_x000D_
2. Water and sanitation_x000D_
_x000D_
3. Livestock production _x000D_
_x000D_
4. Natural resources management","1. 300 households have improved access to agro inputs _x000D_
_x000D_
2. 70 poor households have started rearing livestock as a way of diversifying livelihood sources_x000D_
_x000D_
3. 2 new boreholes are sunk and communities are using safe and clean water _x000D_
_x000D_
4. 300 households have access to and are using improved hygiene and sanitation facilities and services_x000D_
_x000D_
5. Beneficiaries and staff have their capacity improved","1. No. of households having access to improved inputs _x000D_
_x000D_
2. No. of households rearing livestock, keeping bees _x000D_
_x000D_
3. No. of new boreholes sunk_x000D_
_x000D_
4. No. of beneficiaries trained",10/05/2009,09/30/2010,01/18/2010,Balaka
5,5,4th Micro Projects Programme,EU,EU,Single Donor,Government of Malawi (GoM),35000000,2,43040,"33,587,867",3,01/31/2003,Micro Projects Programme Implementation Unit (Ministry of Finance - MoF),01 774 974,01 774 963,,115000,,Local communities,"GoM/EC MPP, MIU, P.O. Box 30309, Lilongwe 3",pcpmu@africa-online.net,1. To enhance the socio-economic development process of local communities and contribute to poverty reduction.,"1. Realise and use educational facilities._x000D_
_x000D_
2. Establish and use health and medical services and infrastructure._x000D_
_x000D_
3. Empower and develop communities._x000D_
_x000D_
4. Boreholes for potable water drilled and equipped._x000D_
_x000D_
5. Introduce income generating activities for the communities._x000D_
_x000D_
6. Provide grants to communities up to 300,000 euros for small infrastructure and enterprise._x000D_
_x000D_
7. Assist in community planning.","1. School blocks. _x000D_
_x000D_
2. School furniture._x000D_
_x000D_
3. Health centers. _x000D_
_x000D_
4. Community development._x000D_
_x000D_
5. Boreholes._x000D_
_x000D_
6. IGAs._x000D_
_x000D_
7. Improved community health._x000D_
_x000D_
8. Education._x000D_
_x000D_
9. Participation._x000D_
_x000D_
10. Service delivery and production.",1. MPRS indicators are be used.,03/01/2004,03/31/2010,02/24/2010,Country-Wide
6,6,Bunda College of Agriculture Capacity Building Programme Phase III,NORAD,NORAD,Single Donor,,20000000,9,31181,"13,810,000",3,11/16/2005,Bunda College of Agriculture (BCA),01 277 281/360,01 277 364,www.bunda.unima.mw,0,,"Academic staff, Administrative staff, students"," P.O. Box 219, Lilongwe.",bcaprincipal@bunda.unima.mw,"1. To enhance the performance of BCA as a lead institution in relevant and efficient learning, teaching, research and outreach for the agricultural and naturaal resources sectors in Malawi and enablethe Cllege play a significant role in the development of the country","1. Human resource development_x000D_
_x000D_
2. Outreach programme._x000D_
_x000D_
3. Research_x000D_
_x000D_
4. Regional,national and international cooperation through exchange visits with partner colleges","1. Teaching and research capacity improved._x000D_
_x000D_
2. Revenue generation improved._x000D_
_x000D_
3. Financial management improved._x000D_
_x000D_
4. Human resourse capacity enhanced_x000D_
_x000D_
5. Infrastructural capacity of the college improved_x000D_
_x000D_
6. Teaching, learning, administrative and financial management improved._x000D_
_x000D_
7. Institutional collaboration/ cooperation and linkages strengthened._x000D_
_x000D_
8. Organisational restructuring/ reforms  strengthened._x000D_
_x000D_
9. Programmes management, coordination and implementation enhanced.","1. Number of accademic staff_x000D_
_x000D_
2. Improved management skills of the administrative, financial and support staff_x000D_
_x000D_
3. Number of Masters students and Doctor students successfully completed._x000D_
_x000D_
4. Number of social activities related to HIV/AIDS, democracy, genger, recreation and environment for staff and students _x000D_
_x000D_
5. MoUs between BCA and other institutions operationalised/reviewed._x000D_
_x000D_
6. External examining and college curricula strengthened._x000D_
_x000D_
7. Timely and effecytive execution of programme activities such as work and maintenance plans, monitoring, custody of assets and seeking alternative sources of funding.",11/16/2005,11/30/2011,02/22/2010,Lilongwe
7,7,Malawi Dairy Development Alliance,USAID,USAID,Single Donor,,4700000,5,32161,"3,600,000",3,01/01/2007,Land O'Lakes Inc.,01 753 341,01 753 344,www.usaid.gov/mw,4540,,Dairy farmers,"  P/Bag A148, Lilongwe", gvillegas@landolakes.co.mw,"1. Increasing dairy production in the Northern and Central Milk Sheds to achieve economics of scale in milk production required to meet consumer demands and ensure the commercial viability of farmer-owned Milk Bulking Groups, Private Dairy Processors and input and service providers. _x000D_
_x000D_
2. Ensuring to commercial sustainability of farmers, producers groups and processors to professionery and profitably manage their farms and businesses by building capacity ofassociation, public institutions and private sector providers to provide essential business development services.","1. Commercial bulking groups._x000D_
_x000D_
2. Expansion and strengthening of Input sppliers and service providers_x000D_
_x000D_
3. Expansion of the commercial Dairy herd","1. Increased value of investment by public, private and non-governmental organizations in dairy sector_x000D_
_x000D_
2. Increased household income from milk sales for participating dairy farmers_x000D_
_x000D_
3. Increased number of people employed in the dairy market chain.","1. Average milk yield for improved cows in milk bulking groups (MBGs)_x000D_
_x000D_
2. Reduced mortality rate of calves born to heifer sheme cows _x000D_
_x000D_
3. Increased volume and value of milk collected by MBGs_x000D_
_x000D_
4. Incresed number of MBGs operating above the break even point_x000D_
_x000D_
5. Increased volume of milk supplied to diary processing plants by MBGs_x000D_
_x000D_
6. Increased  processing plant capacity utilization_x000D_
_x000D_
7. Increased percentage of milk delivered to processing plants that meets or exceeds preestablishd quality standards_x000D_
_x000D_
8. Increased volume and value of dairy supplementary feeds_x000D_
_x000D_
9. Increased volume and value of improved semen sales.",01/01/2007,12/31/2010,01/12/2010,"Kasungu,  Dedza, Lilongwe,  Nkhatabay,  Mzimba"
8,8,Malawi Agriculture Commodity Exchange (MACE) Project,AGRA-Alliance (Alliance for a Green Revolution in Africa),Rockefeller Foundation,Single Donor,Malawi Government Ministry of Agriculture,521786,5,43040,"209,703",3,,Initiative For the Development and Equity In African Agriculture (IDEAA),01 759 536,01 759 536,www.ideaamis.com,0,1500000,Smallholder farmers,"Pagat House, Paul Kagame Road, private Bag B345, Lilongwe3",ideaa@ideaamis.com,"1. To increase agriculture producti_x000D_
_x000D_
2. Integrating smallholder farmers into the commercial sector","1. Promotion of agriculture productivity through marketing (Market Information dissemination, creation of Market Resource Centres for smallholder farmers, Radio Programme called Supermarket On Air on MBC Radio from 5:03-6:00 pm, Cell phone Short Message Service)",1. Marketing of Agricultural produce improved,"1. Trade Value of agricultural commodities for smallholder farmers._x000D_
_x000D_
2. Daily wholesale agricultural market prices_x000D_
_x000D_
3. Retail agricultural market prices _x000D_
_x000D_
4. Market Information Points turned into franchised market resource centres._x000D_
_x000D_
5. Number of Farmer managed market information systems _x000D_
_x000D_
6. Trade Opportunity Information generated and disseminated i.e. Number of bids and offers generated and circulated_x000D_
_x000D_
7. Supermarket On Air Radio Programme Broad Cast",01/01/2004,12/31/2014,01/18/2010,"Karonga, Rumphi, Mzuzu, Mzimba District, Kasungu, Lilongwe, Ntcheu,  Dedza, Machinga, Blantyre, Mwanza, Mulanje"
9,9,Concern Universal Microfinance Operation,DFID,DFID,Single Donor,,4453217,3,24040,"4,038,538",3,11/16/2002,Concern Universal (CU),01 223 604,01 223 694,"www.cumomw.com_x000D_
cumo@cumomw.com",2000,10000,Poor rural households,"P.O. Box 59, Dedza",cumo@cumomw.com,1. To develop viable financial services for poor rural households that can be scaled up sustainably in Malawi.,"1. Gather client feedback._x000D_
_x000D_
2. Revise financial services delivery methodology._x000D_
_x000D_
3. Expanded outreach. _x000D_
_x000D_
4. Product development._x000D_
_x000D_
5. Consider scale up options.","1. Financial services appropriate for poor rural households developed._x000D_
_x000D_
2. Viable delivery systems for rural financial services developed._x000D_
_x000D_
3. Scaling up mechanisms for the sustainable delivery of financial services in rural Malawi determined._x000D_
_x000D_
4. Understanding of rural financial service needs, delivery systems and impacts documented and disseminated.","1. Number of clients adopting loans._x000D_
_x000D_
2. 70% group savings lent out to members within the group._x000D_
_x000D_
3. 8% or less clients dropping out._x000D_
_x000D_
4. 90% or more clients satisfied with CUMO services._x000D_
_x000D_
5. 75% of clients adopting/accessing repeat loans._x000D_
_x000D_
6. 301% cost/revenue ratio per Credit Officer._x000D_
_x000D_
7. At least 95% on time repayment rate._x000D_
_x000D_
8. 5% or less PAR, aged at more than 90 days.",01/01/2003,03/31/2010,01/12/2010,Dedza
10,10,Mpanda Area Development Programme,"World Vision Austria, Germany",,,,89217,5,43040,"30,018",3,10/01/2009,World Vision Malawi (WVM),01 870 740/01 870 734,,www.wvi.org,3000,15000,Smallhoder farmers,P.O. Box 2050 Blantyre,innocent_pendame@wvi.org,To improve food crop and livestock production,"1. Crop production_x000D_
_x000D_
2. Livestock production","1. Access to farm input loans increaded._x000D_
_x000D_
2. Crop production divesified_x000D_
_x000D_
3. Small scel irrigation promoted_x000D_
_x000D_
4. Improved livestock breed improved_x000D_
_x000D_
5. Dietary diversification enhanced _x000D_
_x000D_
6. Increased community capacity in planning, implementation and monitoring of food security interventions","1. Percentage of households accessing farm input loand._x000D_
_x000D_
2. Percentage of households growing more than 3 crop in a season._x000D_
_x000D_
3. Number of irrigation sites developed_x000D_
_x000D_
4. Number of farmers trained and utilizing vetivar grass in soil and water conservation_x000D_
_x000D_
5. Number of households benefiting from livestock pass on program_x000D_
_x000D_
6. Sustainabilit of farmer organization",10/01/2009,09/30/2010,02/08/2010,Neno
