,ClubName,VillageName,TA,District,East,South
1,Akuchowo,Akuchowo,Kasumbu,Dedza,33.3577777777778,-14.3052777777778
2,Akuliphuphwe,Akuliphuphwe,Kasumbu,Dedza,33.3575,-14.3036111111111
3,Biwi Jemusi,Biwi Jemusi,Chauma,Dedza,33.2013888888889,-14.1208333333333
4,Bondo,Bondo,Kaphuka,Dedza,33.1755555555556,-14.3427777777778
5,Buliani/Ndogolo,Buliani/Ndogolo,Chauma,Dedza,33.1613888888889,-14.0755555555556
6,Bwanali,Bwanali,Tambala,Dedza,33.2233333333333,-14.1491666666667
7,Bwazi,Bwazi,Kaphuka,Dedza,33.175,-14.2005555555556
8,Chabwera,Chabwera,Kasumbu,Dedza,33.3405555555556,-14.2991666666667
9,Chafwala,Chafwala,Kaphuka,Dedza,33.1605555555556,-14.2625
10,CHAGWIRA,CHAGWIRA,KAPHUKA,Dedza,33.07,-14.1919444444444
11,CHALOWA,CHALOWA,KAPHUKA,Dedza,33.0758333333333,-14.2002777777778
12,Chalowa,Chalowa,Tambala,Dedza,14.1935,34.0655
13,CHANA MTELEMUKA,CHANA ,KAPHUKA,Dedza,33.0733333333333,-14.1897222222222
14,CHAPONDA,CHAPONDA,KAPHUKA,Dedza,33.075,-14.1891666666667
15,Chaponda,Chaponda,Tambala,Dedza,14.1868333333333,34.0716666666667
16,Chara Mtelemuka,Chara Mtelemuka,Tambala,Dedza,14.1871666666667,34.0706666666667
17,Chatsika,Chatsika,Chauma,Dedza,33.1813888888889,-14.1038888888889
18,Chauma,Chauma,Chauma,Dedza,33.2030555555556,-14.1016666666667
19,Chawira,Chawira,Tambala,Dedza,14.1933333333333,34.063
20,Ching'amba/Chibwana,Chibwana,Kaphuka,Dedza,33.1227777777778,-14.1227777777778
21,Chikanda,Chikanda,Kasumbu,Dedza,33.2916666666667,-14.3477777777778
22,Chikuse Dz,Chikuse,Kasumbu,Dedza,33.32,-14.1508333333333
23,Chikwasa,Chikwasa,Kaphuka,Dedza,33.1641666666667,-14.1666666666667
24,Chilembwe,Chilembwe,Kaphuka,Dedza,33.0822222222222,-14.2280555555556
25,Chiluzi,Chiluzi,Kasumbu,Dedza,33.2844444444444,-14.2127777777778
26,Chimasula,Chimasula,Kaphuka,Dedza,33.1686111111111,-14.2113888888889
27,Chimati,Chimati,Kaphuka,Dedza,33.1947222222222,-14.3475
28,Chimbwani,Chimbwani,Kasumbu,Dedza,33.3575,-14.2894444444444
29,Chimkwita,Chimkwita,Kaphuka,Dedza,33.1888888888889,-14.3708333333333
30,Chimphandu,Chimphandu,Kasumbu,Dedza,33.2861111111111,-14.1941666666667
31,Chimtengo,Chimtengo,Kaphuka,Dedza,33.1219444444444,-14.3186111111111
32,Chindenga,Chindenga,Tambala,Dedza,33.2519444444444,-14.205
33,Chingamba,Chingamba,Tambala,Dedza,14.1646666666667,34.0821666666667
34,CHING'AMBA,CHING'AMBA,KAPHUKA,Dedza,33.0925,-14.1744444444444
35,Chinkesa,Chinkesa,Kasumbu,Dedza,33.3494444444444,-14.2938888888889
36,Chinthankhwa,Chinthankhwa,Kaphuka,Dedza,33.1805555555556,-14.3413888888889
37,Chioza Kalichero,Chioza Kalichero,Kaphuka,Dedza,33.1102777777778,-14.2225
38,Chiozamtoso,Chiozamtoso,Kaphuka,Dedza,33.0980555555556,-14.1930555555556
