,Road Section Name/Description,Road Designation,Road Length (Km),No. of Bridges,Location,
,,,,,District,TA
1,Dembo Market to Thabwani School,UD,8.5,,Chikwawa,Maseya
2,Namalindi Sch to Mthumba TC,UD,7.8,,Chikwawa,Katunga
3,Njeleza to Pende vge,UD,11,,Chikwawa,Kasisi
4,Kalima Vge to Changoima T/C,UD,16,3,Chikwawa,Chapananga
5,Chang'ambika Health Centre to Off D379,UD,5.2,1,Chikwawa,Chapananga
6,Gashitali T/ C to Chikombe Border Post,D379,8,,Chikwawa,Chapananga
7,Chikwawa Boma to Pende School,UD,7,,Chikwawa,Kasisi
8,Phanda CDSS to Nkhwangwa M1,D390,14.3,1,Chikwawa,Ngowe
9,Mulomba (off M1) to Bereu T/C,UD,7,,Chikwawa,Maseya
10,Thabwani Sch to Dzimphutsi Road,UD,7.3,,Chikwawa,Maseya
11,Mapelera TC to Lazaro vge,UD,10,,Chikwawa,Makhuwira
12,Chizenga School to Jojo village,UD,5.45,,Chikwawa,Ngabu
13,Mchacha to Mwananjovu School,UD,5.1,,Chikwawa,Ngowe
14,Kalima School  to Bereu Trading Centre,UD,6,,Chikwawa,Maseya
15,Phandadzinja to Masache via Mtayamanja School,UD,10,1,Chikwawa,Masache
16,Phanda to Thudzu Village Road,UD,9,,Chikwawa,Ngabu/Masache
17,Makande to Malikopo School Road,UD,12.8,,Chikwawa,Ngabu
18,Kapichira to Kandeu,UD,6.6,,Chikwawa,Kasisi
19,Pende to Nthumba,D380,5.2,,Chikwawa,Kasisi
,SUB TOTAL,,162.25,6,,
1,Zoa TC to Sandama TC,UD,9.25,,Thyolo,Mbawela
2,Namikanga Sch to January Sch,UD,5.6,,Thyolo,Chimaliro
3,Nansadi to Goliati via Thabwa,UD,6.7,,Thyolo,Bvumbwe/Chimaliro
4,Chinzama to Zoa Estate,UD,6.55,,Thyolo,Changata
5,Henderson to Thabwa Trading Centre,D353,13,2,Thyolo,Chimaliro
6,Mwitere to Namikanga School,UD,7,,Thyolo,Nanseta/Chimaliro
7,Ngomano clinic to Mankhamba School via Monekera School,UD,6.2,,Thyolo,Thomas
8,Kamba School (Sandama) to Mbawela Clinic,T420,8.6,,Thyolo,Mbawela
9,47 Miles (Off Thekerani Road) to Nyalugwe School via Milore School,UD,6.5,,Thyolo,Mbawela
10,Naming`azi CCAP to Four Corner Tading Centre via Chikolombe CDSS,UD,7.4,,Thyolo,Kapichi
11,Thekerani TC to Nsanje School,UD,10.4,,Thyolo,Nsabwe
12,Nsanje School to Gombe,UD,5,1,Thyolo,Thukuta
13,Thabwa to Nyambalo School,UD,16.1,1,Thyolo,Chimaliro
14,Chitengu-Maonga via Kalintulo,UD,11.15,,Thyolo,Mphuka
15,Matiya to Thukuta,UD,12,2,Thyolo,Thukuta
16,Masambanjati to Luchenza Road,D355/UD,35.1,1,Thyolo,Kapichi/Changata
17,Chisoka to Lalakani,UD,7.7,,Thyolo,Chimaliro
18,Goliati to Makande via Mashalubu,UD,6.2,,Thyolo,Chimaliro/Nanseta
19,Bvumbwe to Mpanenga Road,UD,5.1,,Thyolo,Bvumbwe
20,Chalingana II to Malosa,UD,8.2,,Thyolo,Changata
,SUB TOTAL,,193.75,7,,
1,Mthilamanja to Chonde TC,UD,5.9,2,Mulanje,Mthiramanja
2,Namisasi to Namtombozi,UD,5.8,,Mulanje,Mabuka
3,Mwanakhu to Thanguzi,UD,7.1,,Mulanje,Mkanda
