Project Summaries Tracking Sheet,,,,
Project,COTR/AOTR,Status,Last updated,Notes
INTRAHEALTH,Banda,Complete,07/01/2010,
World Learning,Banda,Complete,07/01/2010,
Constella HPI,Banda,Complete,07/01/2010,
BASICS,Chipazi,Complete,07/01/2010,
CSHGP,Chipazi,Complete,07/01/2010,
PSI EBT,Chipazi,Complete,07/01/2010,
TBCAP,Chipazi,Complete,07/01/2010,
PSI water,Chipazi,Complete,07/01/2010,
Pact,Chitule,Complete,07/01/2010,
JHU VGI,Chitule,Complete,07/01/2010,
Pact,Chitule,Complete,07/01/2010,
Peace Corp SPA,Chitule,Complete,07/01/2010,
MCHIP,Luick-Martins,Complete,07/01/2010,
JHU BRIDGE,Odiachi,Complete,07/01/2010,
CWW CTC,Orchardson,Complete,07/01/2010,
Project Peanut Butter,Orchardson,Complete,07/01/2010,
UNICEF Nutrition,Orchardson,Complete,07/01/2010,
CDC IAA,Wolf,Complete,07/01/2010,
IMAD,Wolf,Complete,07/01/2010,
Deliver,Wolf/Banda,Complete,07/01/2010,
MSH SPS,Wolf/Banda,Complete,07/01/2010,
EGPAF,Worku,Complete,07/01/2010,
CCP,Banda,Questions,,reports on file outdated
AED C-Change ,Banda,Questions,,could only find education - is this separate?
MSH Community Based FP,Banda,Questions,,Is this over?
Dignatas,Chitule,Questions,,no reports on file
"Abt 2020 - HRH, Malaria",Chitule/Wolf,Questions,,reports out of date (do you want to make this two?)
Banja Lamtsogolo,Deutsch,Questions,,no file
AED C-Change (OVC),EDU,Questions,,only found education specific info - OVC buy in?
CRS IMPACT,Odiachi,Questions,,no reports on file
Baylor ,Odiachi,Questions,,no reports on file
Feed the Children - Tikalere,Orchardson,Questions,,no file
CRS Supplemental,Orchardson,Questions,,no file
Partners in Hope,Worku,Questions,,no reports in file
